Company,Job Title,Job Link,Location,Posting Date,Days Since Posted,Function,Seniority,Company_Group,Product_Focus,Product_Focus_Tokens,Primary_Skill,Extracted_Skills,Relevancy_to_Actian,Trend_Score,First_Seen,Last_Seen,product_area,Description
Nexora,Senior Machine Learning Engineer,https://careers.nexora.io/jobs/1,"Seattle, WA",2026-03-21,32,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.3,0.81,2026-03-20,2026-03-25,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Platform",https://careers.nexora.io/jobs/2,"Seattle, WA",2026-03-25,28,Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.5,0.58,2026-03-22,2026-03-30,AI Data Fabric,
Nexora,"Director of AI, Platform",https://careers.nexora.io/jobs/3,"London, UK",2026-02-23,58,AI/ML & Vector,Director+,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.6,3.11,2026-02-21,2026-02-28,AI Data Fabric,
Nexora,"Principal Engineer, Distributed Systems",https://careers.nexora.io/jobs/4,"Boston, MA",2026-03-25,28,Engineering,Principal/Staff,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.7,1.64,2026-03-20,2026-03-27,AI Data Fabric,
Nexora,Senior Machine Learning Engineer,https://careers.nexora.io/jobs/5,"New York, NY",2026-02-12,69,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.9,1.64,2026-02-08,2026-02-17,AI Data Fabric,
Nexora,"ML Engineer, Vector Search",https://careers.nexora.io/jobs/6,"San Francisco, CA",2026-04-13,9,AI/ML & Vector,IC,AI Data Fabric,Vector / AI,vector___ai,Vector,Vector / AI,9.3,2.82,2026-04-12,2026-04-14,AI Data Fabric,
Nexora,"Solutions Architect, AI",https://careers.nexora.io/jobs/7,"Berlin, Germany",2026-02-22,59,Solution Engineering,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.7,0.99,2026-02-17,2026-02-23,AI Data Fabric,
Nexora,ML Research Scientist,https://careers.nexora.io/jobs/8,"Seattle, WA",2026-02-12,69,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.3,1.64,2026-02-09,2026-02-17,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Platform",https://careers.nexora.io/jobs/9,"Boston, MA",2026-04-17,5,Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.3,0.7,2026-04-12,2026-04-18,AI Data Fabric,
Nexora,"Director of AI, Platform",https://careers.nexora.io/jobs/10,Remote,2026-04-03,19,AI/ML & Vector,Director+,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.3,2.73,2026-03-30,2026-04-08,AI Data Fabric,
